shard_index,sample_idx,sample_name,hess_path,hessian_method,natoms,n_dof,status,error,time_ms,memory_mb,energy_pred_ev,hessian_mae_ev_a2,hessian_rmse_ev_a2,hessian_max_abs_ev_a2,hessian_rel_mae,cart_eigval_mae_ev_a2,cart_eigval_rmse_ev_a2,true_asymmetry_mae_ev_a2,pred_asymmetry_mae_ev_a2,true_neg_num,pred_neg_num,neg_num_agree,eckart_eigval_mae_hartree_bohr2,eckart_lowest_eigval_mae_hartree_bohr2,method_key,method_label,group_median,group_mad,outlier_threshold,ratio_to_median,is_outlier,eckart_eigval_mae_ev_a2
0,0,PubChem_5280344,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5280344/PubChem_5280344.hess,predict,51,153,ok,,2156.178955078125,729.41568,19.77505874633789,7.737458802762041,41.71846456246649,760.1665239732077,1.1133986566369016,322.5716481217626,487.9170054427363,0.0,0.0,84,50,0,1.5298772095435405,3.859561270588533,predict,HIP Hessians (ours),0.08451832475556835,0.00715001955728195,0.42259162377784176,18.1011303047952,True,148.66371317350905
0,1,PubChem_5280349,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5280349/PubChem_5280349.hess,predict,53,159,ok,,88.90483093261719,779.764736,19.175106048583984,7.206409605421913,38.79654441791134,896.4771218869347,1.2806117736701474,293.09334188153895,456.5769762844979,0.0,0.0,81,59,0,1.1192930941769628,1.884419574431569,predict,HIP Hessians (ours),0.08915236829415851,0.01374310955448551,0.44576184147079256,12.55483298529829,True,108.76576660649819
0,2,PubChem_5280489,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5280489/PubChem_5280489.hess,predict,96,288,ok,,138.2552032470703,2042.635776,19.758188247680664,22.694697409432464,863.4158375073146,46765.77741665297,1.050466085576595,2313.660138500319,14616.826956382358,0.0,0.0,155,117,0,22.234391559500512,723.5627639134916,predict,HIP Hessians (ours),0.10721379041181385,0.009636082648751501,0.5360689520590692,207.3836907929198,True,2160.5964117703925
0,3,PubChem_5280805,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5280805/PubChem_5280805.hess,predict,73,219,ok,,120.9142074584961,1403.862016,18.14536476135254,8.540856310405422,37.283217654681664,876.325543046199,1.137519058364593,321.5242686612971,508.82782305651966,0.0,0.0,108,65,0,1.1906550950741572,12.246219613087568,predict,HIP Hessians (ours),0.0944840099543702,0.018717956710981205,0.47242004977185104,12.601657102076514,True,115.70027087042766
0,4,PubChem_5281673,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5281673/PubChem_5281673.hess,predict,53,159,ok,,85.55101013183594,785.261056,18.44819450378418,18.22323273075556,104.60296538282677,4280.936560970113,1.05545378833838,401.0632881916683,1287.788294811867,0.0,0.0,78,42,0,1.508577921134692,57.53157719060251,predict,HIP Hessians (ours),0.08915236829415851,0.01374310955448551,0.44576184147079256,16.921344323205577,True,146.59398412397462
0,5,PubChem_5281675,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5281675/PubChem_5281675.hess,predict,52,156,ok,,84.05609893798828,754.32448,18.40991973876953,8.147593477323477,41.02522460938306,816.1814642708237,1.1402670534087826,316.2145621613045,479.09994527340587,0.0,0.0,77,42,0,1.1730906925572215,12.761682789521954,predict,HIP Hessians (ours),0.08549435095059935,0.010425200635248502,0.4274717547529967,13.721265551627628,True,113.99347421932853
0,6,PubChem_5281792,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5281792/PubChem_5281792.hess,predict,42,126,ok,,78.19868469238281,522.804224,19.24163627624512,11.442638417722405,75.57828658383066,2510.61195906082,1.1357468392755028,392.6537277027537,804.141639870981,0.0,0.0,64,41,0,1.6123007545645227,12.992706761216246,predict,HIP Hessians (ours),0.0726590502020648,0.004474492821739798,0.363295251010324,22.189950874401948,True,156.67310777021598
0,7,PubChem_5281794,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5281794/PubChem_5281794.hess,predict,44,132,ok,,77.32064056396484,563.557888,20.03084373474121,8.45736080159579,44.90619565542824,787.4975722659073,1.1559637419692117,319.0993519921325,485.91329368956366,0.0,0.0,74,52,0,1.5174450326169908,3.4740669250214617,predict,HIP Hessians (ours),0.06808358581539001,0.004012944588542559,0.34041792907695,22.287971681332607,True,147.45563348371334
0,0,PubChem_5280344,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5280344/PubChem_5280344.hess,autograd,51,153,ok,,4988.958984375,3107.452928,89.95445251464844,7.00920014276716,43.32549914394887,796.2519808213523,1.0086042746063253,341.04301550396536,524.8532307062958,0.0,0.2963103950023651,84,76,0,1.5677571820984335,3.645892902120567,autograd,AD Hessians (direct force),0.1239804347911939,0.003989207391218802,0.6199021739559695,12.64519829067246,True,152.3446473947602
1,0,PubChem_5280349,/scratch/aburger/hip/orca_hessians/jobs/PubChem_5280349/PubChem_5280349.hess,autograd,53,159,ok,,5171.91650390625,3331.034112,85.45315551757812,5.658041391230712,40.20391900981965,932.6247716519492,1.0054596974437249,318.5808013560624,497.64986923073263,0.0,0.1861025989055633,81,69,0,1.1676353009796134,1.847555084151685,autograd,AD Hessians (direct force),0.126337782604147,0.006267529409165841,0.6316889130207349,9.242170290720981,True,113.46335404779877
