loss_function,number_of_geometries,hessian_mae_eV_per_angstrom2,eigenvalue_mae_eV_per_angstrom2,lowest_eigenvector_cosine_similarity,lambda_1_mae_eV_per_angstrom2,lambda_2_mae_eV_per_angstrom2,eckart_lambda_1_mae_eV_per_angstrom2,eckart_lambda_2_mae_eV_per_angstrom2,eckart_lowest_eigenvector_cosine_similarity,eckart_second_eigenvector_cosine_similarity,transition_state_identification_accuracy_fraction,exact_negative_mode_accuracy_fraction
MSE,1000,0.0326443878212012,0.0718986649485304,0.7279815807528793,0.1681415858026594,0.0878855459578335,0.0370810172598813,0.0132437790186629,0.958534051436454,0.9274814215339132,0.888,0.863
MAE,1000,0.0255108153887558,0.0568857781724073,0.8246394190806895,0.1268846789901145,0.0515085534437093,0.0312994613912808,0.011992359020965,0.9759861447088538,0.952389116361754,0.93,0.911
MAE+Sub,1000,0.0302785479894373,0.0625169848455116,0.8699371047578752,0.1302731529073789,0.029954692294239,0.0313862951167305,0.0100930769369267,0.9803668360517622,0.9570998955778276,0.935,0.919
