model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
Energy-force-only EquiformerV2 AD,49338,4248,12,0.0079984860494732,2.2876458168029785
Energy-force-only EquiformerV2 AD,29262,4249,13,0.010424212552607,1.9084198474884035
Energy-force-only EquiformerV2 AD,46000,4250,11,0.0753930956125259,4.188961505889893
Energy-force-only EquiformerV2 AD,50201,4251,10,0.0348183363676071,2.2683708667755127
Energy-force-only EquiformerV2 AD,31656,4252,12,0.0253752414137125,2.605808973312378
Energy-force-only EquiformerV2 AD,512,4253,14,0.005882837343961,2.1479828357696533
Energy-force-only EquiformerV2 AD,41253,4254,15,0.0057196910493075,1.961686849594116
Energy-force-only EquiformerV2 AD,8039,4255,17,0.0213191378861665,1.5945146083831787
Energy-force-only EquiformerV2 AD,17769,4256,10,0.0132228061556816,3.6437695026397705
Energy-force-only EquiformerV2 AD,27346,4257,13,0.0191044621169567,2.7011752128601074
Energy-force-only EquiformerV2 AD,11064,4258,15,0.0101228551939129,1.854523777961731
Energy-force-only EquiformerV2 AD,12024,4259,12,0.0145844239741563,2.9519784450531006
Energy-force-only EquiformerV2 AD,34562,4260,16,0.0069600148126482,1.8737560510635376
Energy-force-only EquiformerV2 AD,6134,4261,17,0.0160886235535144,1.6593793630599976
Energy-force-only EquiformerV2 AD,24868,4262,16,0.0402213633060455,2.265139102935791
Energy-force-only EquiformerV2 AD,28460,4263,13,0.0257877632975578,1.8113481998443604
Energy-force-only EquiformerV2 AD,49680,4264,10,0.0508339814841747,3.695596218109131
Energy-force-only EquiformerV2 AD,12485,4265,12,0.0670688822865486,2.40615463256836
Energy-force-only EquiformerV2 AD,1735,4266,16,0.0037822034209966,1.953826069831848
Energy-force-only EquiformerV2 AD,38411,4267,18,0.0044251163490116,1.812041521072388
Energy-force-only EquiformerV2 AD,32164,4268,16,0.0074299052357673,1.3666632175445557
Energy-force-only EquiformerV2 AD,7122,4269,17,0.0061034015379846,1.5846471786499023
Energy-force-only EquiformerV2 AD,47809,4270,10,0.0328808017075061,3.778665781021118
Energy-force-only EquiformerV2 AD,24805,4271,12,0.0304715372622013,2.7522308826446533
Energy-force-only EquiformerV2 AD,6217,4272,16,0.0063920333050191,1.8630491495132449
