,summary,config,name
0,"{'_runtime': 2555, '_step': 35, '_timestamp': 1756707170.8070617, '_wandb': {'runtime': 2555}, 'autograd_neg_num_one': 0, 'converged_ts': 698, 'convert_ts': 698, 'final_autograd_neg_num_found': 850, 'final_predict_neg_num_found': 847, 'gsm_success': 852, 'initial_autograd_neg_num_one': 0, 'initial_neg_num_agree': 15, 'initial_neg_num_found': 852, 'initial_predict_neg_num_found': 850, 'initial_predict_neg_num_one': 495, 'intended_count': 679, 'irc_success': 745, 'monitor/active_jobs': 961, 'monitor/autograd_neg_num_one': 0, 'monitor/final_autograd_neg_num_found': 850, 'monitor/final_predict_neg_num_found': 847, 'monitor/gsm_success': 852, 'monitor/initial_autograd_neg_num_one': 0, 'monitor/initial_neg_num_agree': 15, 'monitor/initial_neg_num_found': 852, 'monitor/initial_predict_neg_num_found': 850, 'monitor/initial_predict_neg_num_one': 495, 'monitor/irc_results': 758, 'monitor/neg_num_agree': 13, 'monitor/optim_string/Converged': 1, 'monitor/optim_string/Ran out of iterations': 1, 'monitor/predict_neg_num_one': 741, 'monitor/pygsm_output_files': 960, 'monitor/pysistsopt_output_files': 852, 'monitor/tsopt/Converged!': 678, 'monitor/tsopt/Number of cycles exceeded!': 172, 'monitor/tsopt_results': 852, 'neg_num_agree': 13, 'num_autograd_hessians': 850, 'num_geom_files': 850, 'num_predict_hessians': 850, 'predict_neg_num_one': 741, 'size_ts_geoms_hessians': 0.00028228759765625, 'ts_success': 750, 'ts_success_autograd': 0, 'ts_success_autograd_predict': 0, 'ts_success_predict': 741}","{'calc': 'equiformer', 'dmax': 0.1, 'wandb': True, 'charge': 0, 'device': 'cpu', 'gsm_wt': 3600, 'nprocs': 14, 'select': 'tight', 'fixed_P': False, 'fixed_R': False, 'scratch': 'runs/equiformer_hesspredhesspredalldatanumlayershessian3presetluca8w10onlybz128-581483-20250826-074746_ts1x_predict', 'conv_tol': 0.0005, 'inp_path': 'data/ts1x', 'redo_all': False, 'redo_gsm': False, 'redo_irc': False, 'redo_opt': False, 'ckpt_path': '/ssd/Code/ReactBench/ckpt/hesspred/hesspredalldatanumlayershessian3presetluca8w10onlybz128-581483-20250826-074746.ckpt', 'num_nodes': 9, 'pysis_exe': 'pysis', 'python_exe': 'python', 'ts_require': 'default', 'config_path': 'auto', 'gsm_restart': True, 'max_samples': None, 'scratch_opt': '/ssd/Code/ReactBench/runs/equiformer_hesspredhesspredalldatanumlayershessian3presetluca8w10onlybz128-581483-20250826-074746_ts1x_predict/scratch', 'add_node_tol': 0.1, 'multiplicity': 1, 'max_gsm_iters': 50, 'max_opt_steps': 5, 'pysis_restart': True, 'hessian_method': 'predict', 'cleanup_results': False, 'reactbench_path': '/ssd/Code/ReactBench', 'only_cnt_results': False}",equiformer_ts1x_predict
1,"{'_runtime': 5959, '_step': 91, '_timestamp': 1756713809.187826, '_wandb': {'runtime': 5959}, 'autograd_neg_num_one': 736, 'converged_ts': 629, 'convert_ts': 625, 'final_autograd_neg_num_found': 852, 'final_predict_neg_num_found': 0, 'gsm_success': 864, 'initial_autograd_neg_num_one': 529, 'initial_neg_num_agree': 0, 'initial_neg_num_found': 859, 'initial_predict_neg_num_found': 0, 'initial_predict_neg_num_one': 0, 'intended_count': 644, 'irc_success': 714, 'monitor/active_jobs': 961, 'monitor/autograd_neg_num_one': 736, 'monitor/final_autograd_neg_num_found': 852, 'monitor/final_predict_neg_num_found': 0, 'monitor/gsm_success': 864, 'monitor/initial_autograd_neg_num_one': 529, 'monitor/initial_neg_num_agree': 0, 'monitor/initial_neg_num_found': 859, 'monitor/initial_predict_neg_num_found': 0, 'monitor/initial_predict_neg_num_one': 0, 'monitor/irc_results': 753, 'monitor/neg_num_agree': 0, 'monitor/optim_string/Converged': 1, 'monitor/optim_string/Ran out of iterations': 1, 'monitor/optim_string/Ran out of iterations uncaught': 1, 'monitor/predict_neg_num_one': 0, 'monitor/pygsm_output_files': 960, 'monitor/pysistsopt_output_files': 864, 'monitor/tsopt/Converged!': 629, 'monitor/tsopt/Number of cycles exceeded!': 228, 'monitor/tsopt_results': 864, 'neg_num_agree': 0, 'num_autograd_hessians': 857, 'num_geom_files': 857, 'num_predict_hessians': 0, 'predict_neg_num_one': 0, 'size_ts_geoms_hessians': 0.00019073486328125, 'ts_success': 735, 'ts_success_autograd': 735, 'ts_success_autograd_predict': 0, 'ts_success_predict': 0}","{'calc': 'equiformer', 'dmax': 0.1, 'wandb': True, 'charge': 0, 'device': 'cpu', 'gsm_wt': 3600, 'nprocs': 14, 'select': 'tight', 'fixed_P': False, 'fixed_R': False, 'scratch': 'runs/equiformer_ts1x_autograd', 'conv_tol': 0.0005, 'inp_path': 'data/ts1x', 'redo_all': False, 'redo_gsm': False, 'redo_irc': False, 'redo_opt': False, 'ckpt_path': None, 'num_nodes': 9, 'pysis_exe': 'pysis', 'python_exe': 'python', 'ts_require': 'default', 'config_path': None, 'gsm_restart': True, 'max_samples': None, 'scratch_opt': '/ssd/Code/ReactBench/runs/equiformer_ts1x_autograd/scratch', 'add_node_tol': 0.1, 'multiplicity': 1, 'max_gsm_iters': 50, 'max_opt_steps': 5, 'pysis_restart': True, 'hessian_method': 'autograd', 'cleanup_results': False, 'reactbench_path': '/ssd/Code/ReactBench', 'only_cnt_results': False}",equiformer_ts1x_autograd
2,"{'_runtime': 2146, '_step': 31, '_timestamp': 1756716124.5686889, '_wandb': {'runtime': 2146}, 'autograd_neg_num_one': 0, 'converged_ts': 787, 'convert_ts': 774, 'final_autograd_neg_num_found': 0, 'final_predict_neg_num_found': 0, 'gsm_success': 859, 'initial_autograd_neg_num_one': 0, 'initial_neg_num_agree': 0, 'initial_neg_num_found': 0, 'initial_predict_neg_num_found': 0, 'initial_predict_neg_num_one': 0, 'intended_count': 699, 'irc_success': 785, 'monitor/active_jobs': 961, 'monitor/autograd_neg_num_one': 0, 'monitor/final_autograd_neg_num_found': 0, 'monitor/final_predict_neg_num_found': 0, 'monitor/gsm_success': 859, 'monitor/initial_autograd_neg_num_one': 0, 'monitor/initial_neg_num_agree': 0, 'monitor/initial_neg_num_found': 0, 'monitor/initial_predict_neg_num_found': 0, 'monitor/initial_predict_neg_num_one': 0, 'monitor/irc_results': 807, 'monitor/neg_num_agree': 0, 'monitor/optim_string/Converged': 1, 'monitor/optim_string/Ran out of iterations': 1, 'monitor/optim_string/Ran out of iterations uncaught': 1, 'monitor/predict_neg_num_one': 0, 'monitor/pygsm_output_files': 960, 'monitor/pysistsopt_output_files': 859, 'monitor/tsopt/Converged!': 787, 'monitor/tsopt/Number of cycles exceeded!': 63, 'monitor/tsopt_results': 859, 'neg_num_agree': 0, 'num_autograd_hessians': 0, 'num_geom_files': 850, 'num_predict_hessians': 0, 'predict_neg_num_one': 0, 'size_ts_geoms_hessians': 8.0108642578125e-05, 'ts_success': 792, 'ts_success_autograd': 0, 'ts_success_autograd_predict': 0, 'ts_success_predict': 0}","{'calc': 'leftnet', 'dmax': 0.1, 'wandb': True, 'charge': 0, 'device': 'cpu', 'gsm_wt': 3600, 'nprocs': 14, 'select': 'tight', 'fixed_P': False, 'fixed_R': False, 'scratch': 'runs/leftnet_hormleft_ts1x_autograd', 'conv_tol': 0.0005, 'inp_path': 'data/ts1x', 'redo_all': False, 'redo_gsm': False, 'redo_irc': False, 'redo_opt': False, 'ckpt_path': '/ssd/Code/ReactBench/ckpt/horm/left.ckpt', 'num_nodes': 9, 'pysis_exe': 'pysis', 'python_exe': 'python', 'ts_require': 'default', 'config_path': None, 'gsm_restart': True, 'max_samples': None, 'scratch_opt': '/ssd/Code/ReactBench/runs/leftnet_hormleft_ts1x_autograd/scratch', 'add_node_tol': 0.1, 'multiplicity': 1, 'max_gsm_iters': 50, 'max_opt_steps': 5, 'pysis_restart': True, 'hessian_method': 'autograd', 'cleanup_results': False, 'reactbench_path': '/ssd/Code/ReactBench', 'only_cnt_results': False}",leftnet_hormleft_ts1x_autograd
3,"{'_runtime': 55387, '_step': 840, '_timestamp': 1756771527.4194098, '_wandb': {'runtime': 55387}, 'autograd_neg_num_one': 0, 'converged_ts': 403, 'convert_ts': 397, 'final_autograd_neg_num_found': 0, 'final_predict_neg_num_found': 0, 'gsm_success': 899, 'initial_autograd_neg_num_one': 0, 'initial_neg_num_agree': 0, 'initial_neg_num_found': 0, 'initial_predict_neg_num_found': 0, 'initial_predict_neg_num_one': 0, 'intended_count': 467, 'irc_success': 690, 'monitor/active_jobs': 960, 'monitor/autograd_neg_num_one': 0, 'monitor/final_autograd_neg_num_found': 0, 'monitor/final_predict_neg_num_found': 0, 'monitor/gsm_success': 899, 'monitor/initial_autograd_neg_num_one': 0, 'monitor/initial_neg_num_agree': 0, 'monitor/initial_neg_num_found': 0, 'monitor/initial_predict_neg_num_found': 0, 'monitor/initial_predict_neg_num_one': 0, 'monitor/irc_results': 700, 'monitor/neg_num_agree': 0, 'monitor/optim_string/Converged': 1, 'monitor/optim_string/Ran out of iterations': 1, 'monitor/predict_neg_num_one': 0, 'monitor/pygsm_output_files': 960, 'monitor/pysistsopt_output_files': 899, 'monitor/tsopt/Converged!': 403, 'monitor/tsopt/Number of cycles exceeded!': 480, 'monitor/tsopt_results': 899, 'neg_num_agree': 0, 'num_autograd_hessians': 0, 'num_geom_files': 883, 'num_predict_hessians': 0, 'predict_neg_num_one': 0, 'size_ts_geoms_hessians': 9.1552734375e-05, 'ts_success': 701, 'ts_success_autograd': 0, 'ts_success_autograd_predict': 0, 'ts_success_predict': 0}","{'calc': 'leftnet-d', 'dmax': 0.1, 'wandb': True, 'charge': 0, 'device': 'cpu', 'gsm_wt': 3600, 'nprocs': 14, 'select': 'tight', 'fixed_P': False, 'fixed_R': False, 'scratch': 'runs/leftnet-d_hormleft-df_ts1x_autograd', 'conv_tol': 0.0005, 'inp_path': 'data/ts1x', 'redo_all': False, 'redo_gsm': False, 'redo_irc': False, 'redo_opt': False, 'ckpt_path': '/ssd/Code/ReactBench/ckpt/horm/left-df.ckpt', 'num_nodes': 9, 'pysis_exe': 'pysis', 'python_exe': 'python', 'ts_require': 'default', 'config_path': None, 'gsm_restart': True, 'max_samples': None, 'scratch_opt': '/ssd/Code/ReactBench/runs/leftnet-d_hormleft-df_ts1x_autograd/scratch', 'add_node_tol': 0.1, 'multiplicity': 1, 'max_gsm_iters': 50, 'max_opt_steps': 5, 'pysis_restart': True, 'hessian_method': 'autograd', 'cleanup_results': False, 'reactbench_path': '/ssd/Code/ReactBench', 'only_cnt_results': False}",leftnet-d_hormleft-df_ts1x_autograd
