sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,16,1536.7757568359375,1039.08352,1458.328125,91.1455078125,0.03392026200890541,0.3303142786026001,0.2635807991027832,0.0,2.1707024574279785,0,1,0,0,0,2,0,0,1,0,0,0.41283950339155445,0.08496344376418978,0.10419526823470042,0.7525230757166737,0.7552259647976138,148.93521012621082,783.3646811214871
1,17,1841.8106689453125,1040.527872,857.9248046875,50.466163635253906,0.03929465264081955,0.3732162415981293,0.2952069640159607,0.0,2.5075266361236572,0,1,0,0,0,3,0,0,0,1,0,0.5841048491552964,0.07097020726916384,0.09373092503028688,0.3441598204626998,0.00468370634936225,188.69710744159715,909.0379282654723
2,20,2291.844970703125,1187.376128,947.060546875,47.35302734375,0.018092622980475426,0.1831168681383133,0.16822479665279388,0.0,1.0159614086151123,0,1,0,0,0,0,0,1,0,0,1,0.2555396753296403,0.026364261444190636,0.1174126858242519,0.939429236471327,0.7452207339097443,81.97625062879833,695.8547777727424
3,19,2017.297607421875,1248.527872,356.388671875,18.757299423217773,0.01420851144939661,0.14796055853366852,0.14549578726291656,0.0,0.6694492101669312,0,1,0,0,0,1,1,0,0,0,0,0.1530745590187601,0.03181794136216372,0.03294416182733692,0.5076072364541792,0.2675840830569117,48.2098478829235,896.8027151525774
4,15,1596.1097412109375,1041.614336,2506.8515625,167.12344360351562,0.06983774900436401,0.5144817233085632,0.3532504737377167,0.0,3.9429128170013428,0,1,0,0,0,7,0,0,0,1,0,0.618054137716616,0.06714727890468113,0.14308746890290283,0.24105984827611676,0.33839325939489195,218.72578248117924,1026.6196219319809
5,21,2221.830078125,1176.15104,1459.3994140625,69.49520874023438,0.01928725093603134,0.17932435870170593,0.15647605061531067,0.0,1.0551444292068481,0,1,0,0,0,0,0,1,0,0,1,0.2421813932411848,0.0011359960668587514,0.13096394952198742,0.9931820517602389,0.6623345095825152,77.10565057466385,718.2122050449884
6,19,2015.223388671875,1290.68288,584.841796875,30.781147003173828,0.02496854029595852,0.2491421401500702,0.22101537883281708,0.0,1.5741240978240967,0,1,0,0,0,4,0,0,0,1,0,0.3710352036192086,0.07251277861546093,0.055935717738358065,0.15197783173913307,0.2330186874850083,138.85528222300752,906.2072861087049
7,18,1910.7763671875,1172.5568,112.3681640625,6.24267578125,0.03128631040453911,0.3386378586292267,0.2829035818576813,0.0,2.128051996231079,0,1,0,0,0,1,1,0,0,0,0,0.47810086194835444,0.07774481329439713,0.1419362849607742,0.9510653162344036,0.9324589564796243,166.7209917572849,799.7353129394313
8,14,1500.16064453125,1002.211328,3326.1005859375,237.57862854003906,0.044182345271110535,0.4491370916366577,0.3836759328842163,0.0,2.1931803226470947,0,1,0,0,0,1,1,0,0,0,0,0.43794682572763927,0.0752666255194226,0.043770076323102744,0.46341539963190714,0.35231543178497077,159.89253179646,657.8020922700221
9,17,1808.4122314453125,952.676352,815.013671875,47.94198226928711,0.019306957721710205,0.37159696221351624,0.2624940276145935,0.0,2.994732618331909,0,1,0,0,0,5,0,0,0,1,0,0.3782901857219809,0.04210215087841941,0.029258445053110746,0.4347913151440246,0.46719342059361463,148.68641217071692,971.4449193880994
10,16,1710.082275390625,974.620672,1357.9619140625,84.87261962890625,0.023202475160360336,0.22537697851657867,0.17431823909282684,0.0,1.833330512046814,0,1,0,0,0,6,0,0,0,1,0,0.3987247245392061,0.016610676290713694,0.0323398363117927,0.46083478248868365,0.061849997249858235,105.28875904859395,1188.194181849011
11,13,1397.6383056640625,877.175296,3727.3173828125,286.71673583984375,0.019744979217648506,0.3448247015476227,0.3199155330657959,0.0,1.1528514623641968,0,1,0,0,0,1,1,0,0,0,0,0.2886558000090967,0.08948875133263312,0.18532687145619428,0.9805734721095514,0.8376708065876328,86.71916722314056,746.2328013945533
12,20,2121.56689453125,1012.163584,999.2568359375,49.96284103393555,0.026695674285292625,0.19322368502616882,0.16287177801132202,0.0,1.1254940032958984,1,0,1,0,0,6,0,0,0,1,0,0.23468265825600224,0.03794560136300392,0.029594660699102937,0.3026464057535645,0.16380939121449045,101.51336652022182,989.8193067367972
13,16,1710.3065185546875,1054.449664,1823.6396484375,113.97747802734375,0.04244285821914673,0.3517904579639435,0.26195478439331055,0.0,2.1507318019866943,0,1,0,0,0,4,0,0,0,1,0,0.44116378696593417,0.041099187437764834,0.042097245575231014,0.021005339531510722,0.21313408747194734,175.4499098073471,1054.0690485614325
14,14,1501.1534423828125,898.288128,3341.330078125,238.66644287109375,0.022787468507885933,0.3946532607078552,0.28613990545272827,0.0,2.3752329349517822,0,1,0,0,0,3,0,0,0,1,0,0.39410380501879366,0.02278608172554021,0.06916646466537567,0.08584197895650587,0.167896338838857,158.04631964441305,957.0161918972079
