sample_idx,natoms,time,memory,energy_error,energy_error_per_atom,forces_error,hessian_error,asymmetry_error,true_asymmetry_error,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
664,22,1254.328369140625,1187.16416,11014.2578125,500.6481018066406,0.29904866218566895,1.0417582988739014,1.1112475395202637,1.311227970290929e-05,6.6763916015625,5,0,0,0,1,11,0,0,0,1,0,"tensor(2.6884, dtype=torch.float64)","tensor(0.2287, dtype=torch.float64)","tensor(0.1341, dtype=torch.float64)","tensor(0.2393, dtype=torch.float64)","tensor(0.0366, dtype=torch.float64)",1658.856403910043,
665,14,586.6842041015625,1084.50816,9853.7333984375,703.838134765625,0.30439358949661255,1.3880174160003662,1.2589194774627686,2.8170425139251165e-05,8.061300277709961,1,0,1,0,0,2,0,0,1,0,0,"tensor(2.6257, dtype=torch.float64)","tensor(0.0317, dtype=torch.float64)","tensor(0.1340, dtype=torch.float64)","tensor(0.1578, dtype=torch.float64)","tensor(0.5459, dtype=torch.float64)",2013.0885455868627,
666,12,473.11358642578125,790.199808,9641.720703125,803.4767456054688,0.5508633852005005,3.064980983734131,2.8465142250061035,5.3360599849838763e-05,14.16470718383789,3,0,0,0,1,7,0,0,0,1,0,"tensor(2.9819, dtype=torch.float64)","tensor(0.2703, dtype=torch.float64)","tensor(0.1427, dtype=torch.float64)","tensor(0.1048, dtype=torch.float64)","tensor(0.0270, dtype=torch.float64)",,
667,15,587.4759521484375,833.881088,7743.37451171875,516.2249755859375,0.21750614047050476,1.3460568189620972,1.019927978515625,1.8233671653433703e-05,8.329671859741211,3,0,0,0,1,6,0,0,0,1,0,"tensor(3.1479, dtype=torch.float64)","tensor(0.1464, dtype=torch.float64)","tensor(0.0492, dtype=torch.float64)","tensor(0.1364, dtype=torch.float64)","tensor(0.2855, dtype=torch.float64)",1552.236661278709,
668,29,2242.037841796875,1383.238144,12069.4404296875,416.1875915527344,0.3498656153678894,0.9393734931945801,0.9449920654296875,5.369057817006251e-06,11.236522674560547,4,0,0,0,1,15,0,0,0,1,0,"tensor(4.1919, dtype=torch.float64)","tensor(1.3492, dtype=torch.float64)","tensor(1.3759, dtype=torch.float64)","tensor(0.0125, dtype=torch.float64)","tensor(0.0152, dtype=torch.float64)",,
669,20,1010.8375244140625,1451.41504,11429.30859375,571.4654541015625,0.4804445505142212,1.6702343225479126,2.013859987258911,9.550179129291791e-06,8.640238761901855,3,0,0,0,1,11,0,0,0,1,0,"tensor(4.2442, dtype=torch.float64)","tensor(2.6174, dtype=torch.float64)","tensor(0.6216, dtype=torch.float64)","tensor(0.0406, dtype=torch.float64)","tensor(0.0357, dtype=torch.float64)",,
670,21,1179.1175537109375,1263.145472,9885.4033203125,470.7334899902344,0.4793291985988617,1.4748597145080566,1.7655168771743774,2.3516122382716276e-05,7.953413963317871,4,0,0,0,1,10,0,0,0,1,0,"tensor(2.9694, dtype=torch.float64)","tensor(1.3683, dtype=torch.float64)","tensor(0.4396, dtype=torch.float64)","tensor(0.6199, dtype=torch.float64)","tensor(0.1019, dtype=torch.float64)",3231.2263746225503,
671,17,688.458740234375,1157.663744,8898.7666015625,523.4568481445312,0.24292561411857605,1.1984128952026367,1.2480806112289429,1.4699442544952035e-05,6.612898349761963,5,0,0,0,1,11,0,0,0,1,0,"tensor(3.2484, dtype=torch.float64)","tensor(0.0181, dtype=torch.float64)","tensor(0.0507, dtype=torch.float64)","tensor(0.0981, dtype=torch.float64)","tensor(0.0606, dtype=torch.float64)",1835.9408995771996,
672,22,1300.955078125,1234.983936,10912.58203125,496.0264587402344,0.31424903869628906,1.0733238458633423,1.1154124736785889,1.7019219740177505e-05,5.843588352203369,4,0,0,0,1,10,0,0,0,1,0,"tensor(2.8323, dtype=torch.float64)","tensor(0.0867, dtype=torch.float64)","tensor(0.0355, dtype=torch.float64)","tensor(0.0697, dtype=torch.float64)","tensor(0.1947, dtype=torch.float64)",2860.8786160914533,
673,12,512.8663940429688,1036.919808,8228.130859375,685.6776123046875,0.3242590129375458,2.0396370887756348,1.7151037454605103,8.18012558738701e-05,7.950681209564209,2,0,0,1,0,8,0,0,0,1,0,"tensor(4.0135, dtype=torch.float64)","tensor(0.0385, dtype=torch.float64)","tensor(0.0122, dtype=torch.float64)","tensor(0.1020, dtype=torch.float64)","tensor(0.0053, dtype=torch.float64)",,
674,14,556.0563354492188,794.187264,11322.9912109375,808.7850952148438,0.39754414558410645,1.8098615407943726,1.3981510400772095,3.5048935387749225e-05,9.695670127868652,3,0,0,0,1,6,0,0,0,1,0,"tensor(3.0976, dtype=torch.float64)","tensor(0.2140, dtype=torch.float64)","tensor(0.0692, dtype=torch.float64)","tensor(0.0690, dtype=torch.float64)","tensor(0.1909, dtype=torch.float64)",,
675,18,832.17919921875,990.49984,8914.5029296875,495.2501525878906,0.4199385941028595,1.3963093757629395,1.525138258934021,1.1308979992463719e-05,7.8565673828125,1,0,1,0,0,8,0,0,0,1,0,"tensor(3.1146, dtype=torch.float64)","tensor(1.1322, dtype=torch.float64)","tensor(0.2619, dtype=torch.float64)","tensor(0.0646, dtype=torch.float64)","tensor(0.0666, dtype=torch.float64)",3277.0053524914942,
676,19,925.1213989257812,1148.764672,10865.98046875,571.8937377929688,0.31695589423179626,1.6580541133880615,1.7423895597457886,2.622189640533179e-05,11.462111473083496,6,0,0,0,1,10,0,0,0,1,0,"tensor(3.1409, dtype=torch.float64)","tensor(0.5249, dtype=torch.float64)","tensor(0.5114, dtype=torch.float64)","tensor(0.0435, dtype=torch.float64)","tensor(0.1925, dtype=torch.float64)",2254.869221791032,
677,17,669.402099609375,1072.514048,9253.3388671875,544.3140258789062,0.2906450033187866,1.3146510124206543,0.9878654479980469,1.4605452633986715e-05,8.636405944824219,4,0,0,0,1,8,0,0,0,1,0,"tensor(3.2909, dtype=torch.float64)","tensor(0.0898, dtype=torch.float64)","tensor(0.0031, dtype=torch.float64)","tensor(0.0271, dtype=torch.float64)","tensor(0.2434, dtype=torch.float64)",2662.0400394256267,
678,19,904.2639770507812,1077.882368,9846.056640625,518.2135009765625,0.3409281373023987,1.205315113067627,1.217761754989624,1.1829430150100961e-05,6.9308648109436035,5,0,0,0,1,8,0,0,0,1,0,"tensor(3.3476, dtype=torch.float64)","tensor(0.1986, dtype=torch.float64)","tensor(0.0951, dtype=torch.float64)","tensor(0.1273, dtype=torch.float64)","tensor(0.3529, dtype=torch.float64)",2755.007271208055,
679,22,1311.7265625,1295.53408,11938.2177734375,542.6463012695312,0.48779240250587463,1.291042685508728,1.5487102270126343,8.090576557151508e-06,8.593670845031738,3,0,0,0,1,11,0,0,0,1,0,"tensor(2.9544, dtype=torch.float64)","tensor(0.7547, dtype=torch.float64)","tensor(0.4009, dtype=torch.float64)","tensor(0.4558, dtype=torch.float64)","tensor(0.0545, dtype=torch.float64)",,
680,15,631.4075927734375,1139.290624,11811.5830078125,787.4389038085938,0.7062833309173584,2.4545717239379883,2.7852652072906494,3.454055331530981e-05,10.155986785888672,1,0,1,0,0,8,0,0,0,1,0,"tensor(3.4385, dtype=torch.float64)","tensor(1.7766, dtype=torch.float64)","tensor(0.7791, dtype=torch.float64)","tensor(0.2377, dtype=torch.float64)","tensor(0.1227, dtype=torch.float64)",,
681,17,678.6356201171875,965.546496,10922.2255859375,642.48388671875,0.22140388190746307,1.8016830682754517,1.771244764328003,3.285114507889375e-05,13.173468589782715,3,0,0,0,1,8,0,0,0,1,0,"tensor(2.8821, dtype=torch.float64)","tensor(0.8884, dtype=torch.float64)","tensor(0.6370, dtype=torch.float64)","tensor(0.1754, dtype=torch.float64)","tensor(0.0075, dtype=torch.float64)",,
682,20,917.9771118164062,1075.648,8954.2236328125,447.711181640625,0.282965749502182,1.4558861255645752,1.812131643295288,2.2535688913194463e-05,9.470154762268066,6,0,0,0,1,11,0,0,0,1,0,"tensor(3.4167, dtype=torch.float64)","tensor(2.1253, dtype=torch.float64)","tensor(1.3619, dtype=torch.float64)","tensor(0.4440, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)",,
683,18,799.3446655273438,1112.024576,9826.2744140625,545.9041137695312,0.3527471125125885,1.1685030460357666,1.0399729013442993,9.678699825599324e-06,6.925814628601074,1,0,1,0,0,5,0,0,0,1,0,"tensor(3.9249, dtype=torch.float64)","tensor(0.1809, dtype=torch.float64)","tensor(0.2019, dtype=torch.float64)","tensor(0.3727, dtype=torch.float64)","tensor(0.4097, dtype=torch.float64)",1971.899388463632,
684,13,516.7269897460938,921.93536,7818.5341796875,601.4257202148438,0.36964666843414307,2.194835901260376,2.332606554031372,4.821220500161871e-05,10.070141792297363,4,0,0,0,1,7,0,0,0,1,0,"tensor(2.6984, dtype=torch.float64)","tensor(0.9846, dtype=torch.float64)","tensor(0.7164, dtype=torch.float64)","tensor(0.7404, dtype=torch.float64)","tensor(0.1840, dtype=torch.float64)",,
685,14,557.3887939453125,811.93472,10773.3583984375,769.525634765625,0.415504515171051,1.9910153150558472,1.969589114189148,4.622374035534449e-05,10.892890930175781,4,0,0,0,1,7,0,0,0,1,0,"tensor(2.9564, dtype=torch.float64)","tensor(0.3591, dtype=torch.float64)","tensor(0.3277, dtype=torch.float64)","tensor(0.3793, dtype=torch.float64)","tensor(0.3009, dtype=torch.float64)",2098.587736972226,
686,11,439.83160400390625,745.53856,10178.828125,925.3480224609375,0.6193279027938843,3.5033674240112305,2.8587257862091064,0.00011724852083716542,16.36532211303711,1,0,1,0,0,7,0,0,0,1,0,"tensor(4.4016, dtype=torch.float64)","tensor(0.8648, dtype=torch.float64)","tensor(0.7015, dtype=torch.float64)","tensor(0.2941, dtype=torch.float64)","tensor(0.0274, dtype=torch.float64)",,
687,13,517.5316772460938,729.688576,9274.529296875,713.4253540039062,0.3781415522098541,1.8097379207611084,1.3940802812576294,3.8680838770233095e-05,12.33026123046875,0,1,0,0,0,6,0,0,0,1,0,"tensor(2.7918, dtype=torch.float64)","tensor(0.1476, dtype=torch.float64)","tensor(0.1717, dtype=torch.float64)","tensor(0.3244, dtype=torch.float64)","tensor(0.0765, dtype=torch.float64)",,
688,13,516.7789916992188,751.174656,12761.5126953125,981.6548461914062,0.48528602719306946,1.8588652610778809,1.2407101392745972,7.68289974075742e-05,11.248452186584473,2,0,0,1,0,7,0,0,0,1,0,"tensor(3.4185, dtype=torch.float64)","tensor(0.0068, dtype=torch.float64)","tensor(0.0234, dtype=torch.float64)","tensor(0.1570, dtype=torch.float64)","tensor(0.2072, dtype=torch.float64)",,
689,20,998.647705078125,983.44448,10315.068359375,515.75341796875,0.30982571840286255,1.0439441204071045,0.9559829831123352,6.513545940833865e-06,7.084146022796631,2,0,0,1,0,8,0,0,0,1,0,"tensor(3.9443, dtype=torch.float64)","tensor(0.0732, dtype=torch.float64)","tensor(0.0502, dtype=torch.float64)","tensor(0.6172, dtype=torch.float64)","tensor(0.7306, dtype=torch.float64)",2987.00858824172,
690,21,976.17578125,1173.14048,13475.8984375,641.70947265625,0.5669680833816528,1.728197693824768,2.122377634048462,1.4169825590215623e-05,12.022124290466309,5,0,0,0,1,12,0,0,0,1,0,"tensor(3.4227, dtype=torch.float64)","tensor(8.5985, dtype=torch.float64)","tensor(2.2483, dtype=torch.float64)","tensor(0.0040, dtype=torch.float64)","tensor(0.1301, dtype=torch.float64)",2722.9828716115408,
691,21,1177.9102783203125,1250.42176,8415.3525390625,400.7310791015625,0.2725284695625305,1.3113832473754883,1.5711338520050049,1.9732322471099906e-05,10.48291301727295,4,0,0,0,1,11,0,0,0,1,0,"tensor(3.2705, dtype=torch.float64)","tensor(0.2324, dtype=torch.float64)","tensor(0.4843, dtype=torch.float64)","tensor(0.1736, dtype=torch.float64)","tensor(0.0166, dtype=torch.float64)",,
692,19,912.6205444335938,1237.640192,9396.404296875,494.547607421875,0.4385922849178314,1.5298994779586792,1.842782974243164,1.4539231415255927e-05,6.857224941253662,4,0,0,0,1,7,0,0,0,1,0,"tensor(3.2436, dtype=torch.float64)","tensor(1.1650, dtype=torch.float64)","tensor(0.0231, dtype=torch.float64)","tensor(0.8575, dtype=torch.float64)","tensor(0.0915, dtype=torch.float64)",1863.1683294528211,
693,23,1463.0899658203125,1332.779008,11595.8896484375,504.16912841796875,0.6363093256950378,1.3645992279052734,1.5899544954299927,2.1795933207613416e-05,8.74667739868164,5,0,0,0,1,12,0,0,0,1,0,"tensor(2.7365, dtype=torch.float64)","tensor(1.1740, dtype=torch.float64)","tensor(0.7860, dtype=torch.float64)","tensor(0.3900, dtype=torch.float64)","tensor(0.0765, dtype=torch.float64)",3144.70130551547,
694,10,437.0838928222656,1019.000832,5176.31298828125,517.6312866210938,0.32220208644866943,2.344578266143799,2.2331161499023438,6.403360021067783e-05,7.225577354431152,2,0,0,1,0,4,0,0,0,1,0,"tensor(4.3241, dtype=torch.float64)","tensor(0.6264, dtype=torch.float64)","tensor(0.0982, dtype=torch.float64)","tensor(0.2857, dtype=torch.float64)","tensor(0.0294, dtype=torch.float64)",,
695,19,935.1536865234375,936.034816,10959.326171875,576.806640625,0.30712878704071045,1.0504505634307861,1.0091328620910645,1.65601941262139e-05,5.547041893005371,1,0,1,0,0,7,0,0,0,1,0,"tensor(2.4977, dtype=torch.float64)","tensor(0.1836, dtype=torch.float64)","tensor(0.1685, dtype=torch.float64)","tensor(0.2900, dtype=torch.float64)","tensor(0.7085, dtype=torch.float64)",1465.764290579742,
696,16,634.4857788085938,1037.26592,7317.2861328125,457.33038330078125,0.3536311388015747,1.7963956594467163,1.8191587924957275,1.3894734365749173e-05,7.712426662445068,6,0,0,0,1,14,0,0,0,1,0,"tensor(3.6983, dtype=torch.float64)","tensor(4.4872, dtype=torch.float64)","tensor(0.6116, dtype=torch.float64)","tensor(0.8886, dtype=torch.float64)","tensor(0.1554, dtype=torch.float64)",,
697,13,516.2731323242188,825.014272,9268.7763671875,712.9828491210938,0.3075539171695709,1.5899038314819336,1.1796045303344727,7.378912414424121e-05,9.433835983276367,1,0,1,0,0,9,0,0,0,1,0,"tensor(2.7948, dtype=torch.float64)","tensor(0.0109, dtype=torch.float64)","tensor(0.1167, dtype=torch.float64)","tensor(0.0742, dtype=torch.float64)","tensor(0.1076, dtype=torch.float64)",,
698,17,712.1141357421875,906.935296,9821.0732421875,577.710205078125,0.47568580508232117,2.4135677814483643,3.165874481201172,5.048955790698528e-05,11.105745315551758,2,0,0,1,0,11,0,0,0,1,0,"tensor(2.8527, dtype=torch.float64)","tensor(2.2733, dtype=torch.float64)","tensor(1.9965, dtype=torch.float64)","tensor(0.4314, dtype=torch.float64)","tensor(0.0695, dtype=torch.float64)",,
699,19,909.1471557617188,1104.828928,13463.13671875,708.5861206054688,0.41791248321533203,1.396735668182373,1.3493081331253052,1.1986119716311805e-05,9.155457496643066,3,0,0,0,1,9,0,0,0,1,0,"tensor(3.0546, dtype=torch.float64)","tensor(0.5327, dtype=torch.float64)","tensor(0.2820, dtype=torch.float64)","tensor(0.1040, dtype=torch.float64)","tensor(0.0448, dtype=torch.float64)",2992.943395248909,
700,23,1336.669921875,1272.871424,10023.1123046875,435.7875061035156,0.38374432921409607,1.802571177482605,2.3898751735687256,9.445029718335718e-06,11.12520694732666,7,0,0,0,1,16,0,0,0,1,0,"tensor(3.6205, dtype=torch.float64)","tensor(15.5886, dtype=torch.float64)","tensor(3.1686, dtype=torch.float64)","tensor(0.9207, dtype=torch.float64)","tensor(0.1411, dtype=torch.float64)",,
701,14,592.13720703125,1088.628224,9766.7939453125,697.628173828125,0.4841766059398651,1.8885928392410278,1.9861226081848145,5.323218647390604e-05,6.692073345184326,2,0,0,1,0,7,0,0,0,1,0,"tensor(3.2248, dtype=torch.float64)","tensor(0.3945, dtype=torch.float64)","tensor(0.3853, dtype=torch.float64)","tensor(0.8972, dtype=torch.float64)","tensor(0.0678, dtype=torch.float64)",,
702,19,930.560302734375,1039.521792,12344.3955078125,649.7050170898438,0.4181109070777893,1.7777398824691772,2.0439658164978027,3.4124808735214174e-05,10.246316909790039,4,0,0,0,1,11,0,0,0,1,0,"tensor(2.9948, dtype=torch.float64)","tensor(0.7242, dtype=torch.float64)","tensor(0.3121, dtype=torch.float64)","tensor(0.0152, dtype=torch.float64)","tensor(0.0564, dtype=torch.float64)",,
