sample_idx,natoms,time,memory,energy_error,energy_error_per_atom,forces_error,hessian_error,asymmetry_error,true_asymmetry_error,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
269,14,554.7816772460938,1057.842176,9863.693359375,704.549560546875,0.6051655411720276,1.732379674911499,0.7191369533538818,2.5387929781572893e-05,12.518043518066406,3,0,0,0,1,3,0,0,0,1,1,"tensor(4.1505, dtype=torch.float64)","tensor(0.9217, dtype=torch.float64)","tensor(0.1589, dtype=torch.float64)","tensor(0.8595, dtype=torch.float64)","tensor(0.2660, dtype=torch.float64)",1549.7775721897897,
270,22,1213.812744140625,1097.009152,11960.7880859375,543.6721801757812,0.5678243041038513,1.0490763187408447,0.4483320415019989,3.3561464078957215e-05,14.00083065032959,5,0,0,0,1,8,0,0,0,1,0,"tensor(5.8216, dtype=torch.float64)","tensor(0.3200, dtype=torch.float64)","tensor(0.4470, dtype=torch.float64)","tensor(0.2204, dtype=torch.float64)","tensor(0.3100, dtype=torch.float64)",1643.683736848603,
271,19,918.1563110351562,1209.160192,11816.4150390625,621.9165649414062,0.6474733948707581,1.2222857475280762,0.5302141308784485,1.8390708646620624e-05,14.299179077148438,4,0,0,0,1,5,0,0,0,1,0,"tensor(6.3530, dtype=torch.float64)","tensor(0.0033, dtype=torch.float64)","tensor(0.1406, dtype=torch.float64)","tensor(0.2034, dtype=torch.float64)","tensor(0.1972, dtype=torch.float64)",311.93710697143786,
272,18,756.7561645507812,1081.517056,9865.982421875,548.1101684570312,0.6159830689430237,1.2127424478530884,0.6360545754432678,1.2910292753076646e-05,13.107684135437012,6,0,0,0,1,6,0,0,0,1,1,"tensor(5.8893, dtype=torch.float64)","tensor(0.5082, dtype=torch.float64)","tensor(0.0737, dtype=torch.float64)","tensor(0.6535, dtype=torch.float64)","tensor(0.0903, dtype=torch.float64)",247.25578279871903,
273,16,633.8723754882812,1009.629696,9928.6591796875,620.5411987304688,0.6539778709411621,0.9750754237174988,0.6885712742805481,2.1967080101603642e-05,8.7522611618042,3,0,0,0,1,5,0,0,0,1,0,"tensor(3.7875, dtype=torch.float64)","tensor(1.0360, dtype=torch.float64)","tensor(0.6256, dtype=torch.float64)","tensor(0.5632, dtype=torch.float64)","tensor(0.1668, dtype=torch.float64)",1299.627432972165,
274,22,1257.365478515625,1180.677632,11965.7265625,543.8966674804688,0.4963413178920746,0.9384900331497192,0.46726006269454956,1.6460460756206885e-05,12.297894477844238,3,0,0,0,1,5,0,0,0,1,0,"tensor(5.1121, dtype=torch.float64)","tensor(1.3874, dtype=torch.float64)","tensor(0.6331, dtype=torch.float64)","tensor(0.0563, dtype=torch.float64)","tensor(0.3905, dtype=torch.float64)",1364.9327467246248,
275,9,398.4128112792969,928.116736,8762.3271484375,973.5919189453125,0.714823842048645,2.5059974193573,1.2224464416503906,0.0003236501070205122,13.517949104309082,2,0,0,1,0,6,0,0,0,1,0,"tensor(4.2947, dtype=torch.float64)","tensor(0.8463, dtype=torch.float64)","tensor(0.5687, dtype=torch.float64)","tensor(0.1223, dtype=torch.float64)","tensor(0.2564, dtype=torch.float64)",,
276,15,596.1564331054688,736.09216,14499.8271484375,966.6552124023438,0.7980495095252991,2.648155689239502,1.4424961805343628,5.055099245510064e-05,17.827957153320312,5,0,0,0,1,5,0,0,0,1,1,"tensor(4.0026, dtype=torch.float64)","tensor(0.0088, dtype=torch.float64)","tensor(0.0629, dtype=torch.float64)","tensor(0.0720, dtype=torch.float64)","tensor(0.2043, dtype=torch.float64)",156.78325450504775,
277,18,842.8257446289062,1007.846912,8932.2529296875,496.23626708984375,0.5161426663398743,0.8390520215034485,0.4277764558792114,9.266016604669858e-06,8.512231826782227,3,0,0,0,1,2,0,0,1,0,0,"tensor(3.5886, dtype=torch.float64)","tensor(0.2495, dtype=torch.float64)","tensor(0.1968, dtype=torch.float64)","tensor(0.6297, dtype=torch.float64)","tensor(0.5346, dtype=torch.float64)",262.64090040431444,
278,15,594.1964721679688,1010.384896,6874.72216796875,458.3148498535156,0.6424767374992371,1.2284510135650635,0.8547837138175964,2.662810220499523e-05,8.127445220947266,3,0,0,0,1,4,0,0,0,1,0,"tensor(4.1199, dtype=torch.float64)","tensor(1.5266, dtype=torch.float64)","tensor(0.5301, dtype=torch.float64)","tensor(0.0184, dtype=torch.float64)","tensor(0.1933, dtype=torch.float64)",2334.928613702192,
