model,number_of_atoms,eckart_eigenvalue_mae_eV_per_angstrom2,sample_index,outlier_filter_hessian_mae_eV_per_angstrom2,outlier
HIP,30,0.0888584613407501,0,0.0562214106321334,False
HIP,22,0.0362632279132916,1,0.0552786774933338,False
HIP,17,0.0341637406333956,2,0.0470843650400638,False
HIP,26,0.0335513216814018,3,0.0207448434084653,False
HIP,17,0.0275093888265328,4,0.0391971245408058,False
HIP,19,0.0440153791293263,5,0.0553985834121704,False
HIP,19,0.0263814421208605,6,0.0311602894216775,False
HIP,18,0.0493285580973588,7,0.0579678677022457,False
HIP,18,0.0122444865163461,8,0.0279247816652059,False
HIP,17,0.0630470200988726,9,0.1061418503522872,False
HIP,18,0.04287721666219,10,0.0436280816793441,False
HIP,16,0.1163134912119011,11,0.2984722554683685,False
HIP,14,0.0405129414797333,12,0.0750859230756759,False
HIP,12,0.0236266998845675,13,0.0436230711638927,False
HIP,21,0.022613618883011,14,0.0425927527248859,False
HIP,17,0.0419629314912363,15,0.0773321762681007,False
HIP,20,0.0540693880985933,16,0.0575496070086956,False
HIP,27,0.0359079743706641,17,0.0295544788241386,False
HIP,23,0.0277032616225559,18,0.0263371039181947,False
HIP,22,0.0151722283802366,19,0.0216655433177948,False
HIP,18,0.030331783263746,20,0.0386117845773696,False
HIP,16,0.0752765236317081,21,0.0928572118282318,False
HIP,14,0.0162771987413786,22,0.0579927936196327,False
HIP,21,0.0163408180885004,23,0.0223450437188148,False
HIP,16,0.0131260325582237,24,0.0207028649747371,False
HIP,25,0.0155225909598601,25,0.01482271309942,False
HIP,23,0.0101673043662037,26,0.0139724938198924,False
HIP,7,0.0541251794935637,27,0.1332991123199463,False
HIP,17,0.0114625030725597,28,0.0139985401183366,False
HIP,19,0.0326777544613674,29,0.044458582997322,False
HIP,20,0.026512808589288,30,0.0222291108220815,False
HIP,15,0.0641447178924837,31,0.071235716342926,False
HIP,15,0.0748163150938544,32,0.0747490003705024,False
HIP,17,0.0295666733676363,33,0.0684774070978164,False
HIP,23,0.0513738256856289,34,0.0470981486141681,False
