model,hessian_method,number_of_samples,absolute_zpe_mae_eV,zpe_signed_error_sd_eV,reaction_delta_zpe_mae_eV,reaction_delta_zpe_signed_error_sd_eV
AlphaNet AD,Automatic differentiation,80,0.05652892281335932,0.02851123546007792,0.06246039644639856,0.0774939094076667
LeftNet-CF AD,Automatic differentiation,80,1.2957498281824338,0.3352041951108294,0.19959999999999992,0.2568122640248951
LeftNet-DF AD,Automatic differentiation,80,0.009377972426098991,0.003906367613517851,0.02689999999999996,0.026519645793922506
EquiformerV2 AD,Automatic differentiation,80,0.060006518285383316,0.07236503583670693,0.053854680080657025,0.07101595715022536
HIP,Direct prediction,80,0.00039999999999994586,0.0003018927632559884,0.0015995429309380576,0.001810390166746057
