model,reaction_identifier,dft_force_rms_hartree_per_bohr,dft_negative_mode_count,dft_is_transition_state,dft_force_rms_below_0p002_hartree_per_bohr,dft_is_transition_state_and_force_rms_below_0p002_hartree_per_bohr
EquiformerV2 AD,rxn2195,0.0007916460799119282,1,True,True,True
EquiformerV2 AD,rxn220,0.00047769180143859526,1,True,True,True
EquiformerV2 AD,rxn2212,0.0005753764041056418,1,True,True,True
EquiformerV2 AD,rxn2226,0.001397871606669774,1,True,True,True
EquiformerV2 AD,rxn2271,0.00034578305387452865,1,True,True,True
EquiformerV2 AD,rxn2279,0.0010745845691120836,1,True,True,True
EquiformerV2 AD,rxn2289,0.0006178436360466246,1,True,True,True
EquiformerV2 AD,rxn2337,0.0004550404240029832,1,True,True,True
EquiformerV2 AD,rxn233,0.0003940210388103993,1,True,True,True
EquiformerV2 AD,rxn2349,0.0030365088020923173,1,True,False,False
EquiformerV2 AD,rxn2356,0.0014608244614741663,1,True,True,True
