Name	Atoms	Format	Source
chno_xyz/n035_pubchem_06_f0d2b096aa	35	xyz	pubchem3d:2850520:C12H21NO
chno_xyz/n035_pubchem_07_8b3afd7d12	35	xyz	pubchem3d:6479668:C12H21NO
chno_xyz/n035_pubchem_08_e02417e586	35	xyz	pubchem3d:379926:C12H21NO
chno_xyz/n035_pubchem_09_e9f278b5c9	35	xyz	pubchem3d:3086435:C12H21NO
chno_xyz/n035_pubchem_10_da4c68144e	35	xyz	pubchem3d:5053787:C12H21NO
chno_xyz/n036_pubchem_01_9372688d2e	36	xyz	pubchem3d:193906:C12H22N2
chno_xyz/n036_pubchem_02_89c0e53b40	36	xyz	pubchem3d:303798:C12H22N2
chno_xyz/n036_pubchem_03_9753251700	36	xyz	pubchem3d:24844218:C12H22N2
chno_xyz/n036_pubchem_04_8a06f2e81b	36	xyz	pubchem3d:21193634:C12H22N2
chno_xyz/n036_pubchem_05_a365f4e1c0	36	xyz	pubchem3d:658273:C12H22N2
chno_xyz/n036_pubchem_06_1f02f12408	36	xyz	pubchem3d:22315744:C12H22N2
chno_xyz/n036_pubchem_07_18c479e66d	36	xyz	pubchem3d:566851:C12H22N2
chno_xyz/n036_pubchem_08_3c11176a8c	36	xyz	pubchem3d:11159879:C12H22N2
chno_xyz/n036_pubchem_09_be2e4d5977	36	xyz	pubchem3d:22998707:C12H22N2
chno_xyz/n036_pubchem_10_7eaf3b7ea9	36	xyz	pubchem3d:10799502:C12H22N2
chno_xyz/n037_pubchem_01_4eb027dcbc	37	xyz	pubchem3d:62328:C13H22O2
chno_xyz/n037_pubchem_02_217dcc809e	37	xyz	pubchem3d:61098:C13H22O2
chno_xyz/n037_pubchem_03_580fa98d04	37	xyz	pubchem3d:23617864:C13H22O2
chno_xyz/n037_pubchem_04_61dd8ca006	37	xyz	pubchem3d:89306:C13H22O2
chno_xyz/n037_pubchem_05_de8c8b427f	37	xyz	pubchem3d:5365982:C13H22O2
chno_xyz/n037_pubchem_06_1d5c8eabfd	37	xyz	pubchem3d:91604:C13H22O2
chno_xyz/n037_pubchem_07_d9d4d1746a	37	xyz	pubchem3d:5355853:C13H22O2
chno_xyz/n037_pubchem_08_6aa07f5108	37	xyz	pubchem3d:111032:C13H22O2
chno_xyz/n037_pubchem_09_bf1544d8ab	37	xyz	pubchem3d:61405:C13H22O2
chno_xyz/n037_pubchem_10_fafcdbc9c6	37	xyz	pubchem3d:5338463:C13H22O2
chno_xyz/n038_pubchem_01_0ed8e34947	38	xyz	pubchem3d:6432934:C13H23NO
chno_xyz/n038_pubchem_02_6a1c45dc86	38	xyz	pubchem3d:4240030:C13H23NO
chno_xyz/n038_pubchem_03_db29b2d64e	38	xyz	pubchem3d:9568612:C13H23NO
chno_xyz/n038_pubchem_04_cd4980ed9b	38	xyz	pubchem3d:3162226:C13H23NO
chno_xyz/n038_pubchem_05_a998b4c2d4	38	xyz	pubchem3d:558510:C13H23NO
chno_xyz/n038_pubchem_06_75580923e2	38	xyz	pubchem3d:4178496:C13H23NO
chno_xyz/n038_pubchem_07_189d10f67c	38	xyz	pubchem3d:344739:C13H23NO
chno_xyz/n038_pubchem_08_63fd89c2c7	38	xyz	pubchem3d:3019015:C13H23NO
chno_xyz/n038_pubchem_09_46d090e834	38	xyz	pubchem3d:297463:C13H23NO
chno_xyz/n038_pubchem_10_338dca548c	38	xyz	pubchem3d:2915080:C13H23NO
chno_xyz/n039_pubchem_01_0a1f9a6ff4	39	xyz	pubchem3d:93164:C13H24N2
chno_xyz/n039_pubchem_02_7a8f6a9c70	39	xyz	pubchem3d:573081:C13H24N2
chno_xyz/n039_pubchem_03_1e5ec58f20	39	xyz	pubchem3d:522346:C13H24N2
chno_xyz/n039_pubchem_04_529609e618	39	xyz	pubchem3d:44430167:C13H24N2
chno_xyz/n039_pubchem_05_0c072af82c	39	xyz	pubchem3d:3360111:C13H24N2
chno_xyz/n039_pubchem_06_d085bfa194	39	xyz	pubchem3d:5032001:C13H24N2
chno_xyz/n039_pubchem_07_e7d49cf581	39	xyz	pubchem3d:41336:C13H24N2
chno_xyz/n039_pubchem_08_19ac0cd72c	39	xyz	pubchem3d:10584512:C13H24N2
chno_xyz/n039_pubchem_09_480f231d16	39	xyz	pubchem3d:145636:C13H24N2
chno_xyz/n039_pubchem_10_393aa24b9c	39	xyz	pubchem3d:3010123:C13H24N2
chno_xyz/n040_pubchem_01_c1cc50dffa	40	xyz	pubchem3d:6532:C14H24O2
chno_xyz/n040_pubchem_02_ff48672c70	40	xyz	pubchem3d:5355856:C14H24O2
chno_xyz/n040_pubchem_03_2ab1cea975	40	xyz	pubchem3d:61412:C14H24O2
chno_xyz/n040_pubchem_04_c1515cde0a	40	xyz	pubchem3d:522673:C14H24O2
chno_xyz/n040_pubchem_05_d30962cda4	40	xyz	pubchem3d:62321:C14H24O2
chno_xyz/n040_pubchem_06_85eaadd740	40	xyz	pubchem3d:5352162:C14H24O2
chno_xyz/n040_pubchem_07_6b2f81ef87	40	xyz	pubchem3d:5365991:C14H24O2
chno_xyz/n040_pubchem_08_075e587eba	40	xyz	pubchem3d:578423:C14H24O2
chno_xyz/n040_pubchem_09_903babc142	40	xyz	pubchem3d:6086514:C14H24O2
chno_xyz/n040_pubchem_10_22767e420a	40	xyz	pubchem3d:61407:C14H24O2
chno_xyz/n041_pubchem_01_434c9ac63c	41	xyz	pubchem3d:5318516:C14H25NO
chno_xyz/n041_pubchem_02_0fda9546bd	41	xyz	pubchem3d:58004815:C14H25NO
chno_xyz/n041_pubchem_03_d300c832e3	41	xyz	pubchem3d:11368078:C14H25NO
chno_xyz/n041_pubchem_04_79b71aeba9	41	xyz	pubchem3d:199799:C14H25NO
chno_xyz/n041_pubchem_05_ccc0ee08c0	41	xyz	pubchem3d:880907:C14H25NO
chno_xyz/n041_pubchem_06_0ac2c7d1f8	41	xyz	pubchem3d:4051138:C14H25NO
chno_xyz/n041_pubchem_07_44a1e2718f	41	xyz	pubchem3d:835664:C14H25NO
chno_xyz/n041_pubchem_08_5eac95a579	41	xyz	pubchem3d:2926640:C14H25NO
chno_xyz/n041_pubchem_09_1daaa3361f	41	xyz	pubchem3d:16091097:C14H25NO
chno_xyz/n041_pubchem_10_c3d3542ac7	41	xyz	pubchem3d:37849:C14H25NO
PubChem_5281792	42	sdf	zinc_molecules
chno_xyz/n042_pubchem_02_584eafa193	42	xyz	pubchem3d:96200:C14H26N2
chno_xyz/n042_pubchem_03_306b96fd28	42	xyz	pubchem3d:85582:C14H26N2
chno_xyz/n042_pubchem_04_ae3c1e8981	42	xyz	pubchem3d:2775924:C14H26N2
chno_xyz/n042_pubchem_05_1160a3896b	42	xyz	pubchem3d:52577:C14H26N2
chno_xyz/n042_pubchem_06_0590ffb868	42	xyz	pubchem3d:12555595:C14H26N2
chno_xyz/n042_pubchem_07_25f558b65c	42	xyz	pubchem3d:796154:C14H26N2
chno_xyz/n042_pubchem_08_563b9a28a3	42	xyz	pubchem3d:818513:C14H26N2
chno_xyz/n042_pubchem_09_46ee762eb9	42	xyz	pubchem3d:210757:C14H26N2
chno_xyz/n042_pubchem_10_be49f3cda8	42	xyz	pubchem3d:10656685:C14H26N2
chno_xyz/n043_pubchem_01_f45e37c77a	43	xyz	pubchem3d:6386037:C15H26O2
chno_xyz/n043_pubchem_02_36aafe149b	43	xyz	pubchem3d:240119:C15H26O2
chno_xyz/n043_pubchem_03_e6982f5ea7	43	xyz	pubchem3d:6429039:C15H26O2
chno_xyz/n043_pubchem_04_26d85b956a	43	xyz	pubchem3d:6437648:C15H26O2
chno_xyz/n043_pubchem_05_c52799fa6c	43	xyz	pubchem3d:110801:C15H26O2
chno_xyz/n043_pubchem_06_854e1985bc	43	xyz	pubchem3d:61406:C15H26O2
chno_xyz/n043_pubchem_07_2a9c0b33f6	43	xyz	pubchem3d:22082179:C15H26O2
chno_xyz/n043_pubchem_08_9d9d0eeece	43	xyz	pubchem3d:5362830:C15H26O2
chno_xyz/n043_pubchem_09_be1552cadb	43	xyz	pubchem3d:5365850:C15H26O2
chno_xyz/n043_pubchem_10_84ce204c08	43	xyz	pubchem3d:23623651:C15H26O2
PubChem_5281794	44	sdf	zinc_molecules
chno_xyz/n044_pubchem_02_b4b5544339	44	xyz	pubchem3d:759108:C15H27NO
chno_xyz/n044_pubchem_03_a048e441e9	44	xyz	pubchem3d:10966538:C15H27NO
